muni_code,muni,muni_type,pref,pref_code,region,fukushima_exclusion_zone,coast,pv_output_2018,windspeed_2018,solarkw,sp,sp_10_49kw,sp_50_499kw,sp_500_1999kw,sp_2000kw_plus,land_price_commercial_2009,land_price_residential_2009,area_2010,population_2010,unemployment_2010,voter_turnout_2012,crime_rate_2008,income_taxable_per_capita_2010,financial_str_index_2010,ratio_revs_exp_2010,disaster_deaths_2011,disaster_damage_2011
01471,Nakagawa,town,Hokkaido,01,Hokkaido,0,0,1113,7.1,0,0,0,0,0,0,8600,2900,59487,1907,3.7,55.0080682870477,2.621919245,1014926.58626114,12,6.6,0,0
01472,Horokanai,town,Hokkaido,01,Hokkaido,0,0,1126,7,0,0,0,0,0,0,0,0,76703,1710,1.6,NA,7.01754386,1074040.35087719,10,2.8,0,0
01481,Mashike,town,Hokkaido,01,Hokkaido,0,0,1056,7.45,0,0,0,0,0,0,14800,9900,36968,5078,8.2,NA,5.907837731,883165.616384403,14,5.8,0,0
01482,Obira,town,Hokkaido,01,Hokkaido,0,0,1112,6.67,0,0,0,0,0,0,10000,7400,62731,3717,5.4,NA,5.649717514,921592.951304816,13,3.3,0,0
01483,Tomamae,town,Hokkaido,01,Hokkaido,0,0,1083,7.06,22.3,1,1,0,0,0,8400,5100,45453,3656,4.7,NA,4.376367615,881873.63238512,14,6.7,0,0
01484,Haboro,town,Hokkaido,01,Hokkaido,0,0,1091,6.97,1248.7,3,0,1,2,0,18500,9600,47253,7964,4.4,NA,4.64590658,975250.125565043,19,5.3,0,0
01485,Shosambetsu,village,Hokkaido,01,Hokkaido,0,0,1065,7.24,0,0,0,0,0,0,0,2600,28004,1369,2.4,NA,4.38276114,1086013.14828342,10,1.2,0,0
01486,Embetsu,town,Hokkaido,01,Hokkaido,0,0,1088,7.53,49.5,1,1,0,0,0,14700,8400,59086,3084,3,NA,3.566796368,937867.704280156,13,1.9,0,0
01487,Teshio,town,Hokkaido,01,Hokkaido,0,0,1111,7.51,0,0,0,0,0,0,15600,7400,35331,3780,7.8,NA,4.497354497,1119204.4973545,15,2.2,0,0
01511,Sarufutsu,village,Hokkaido,01,Hokkaido,0,0,1128,7.23,0,0,0,0,0,0,0,3000,59000,2825,1.5,58.1352898150881,2.477876106,1686137.34513274,18,2.6,0,0
01512,Hamatombetsu,town,Hokkaido,01,Hokkaido,0,0,1109,7.31,7040,8,0,0,8,0,14000,6400,40156,4168,4.5,58.1352898150881,6.717850288,1173580.37428023,17,5.8,0,0
01513,Nakatombetsu,town,Hokkaido,01,Hokkaido,0,0,1122,7.17,0,0,0,0,0,0,4800,3800,39855,1974,2.7,58.1352898150881,3.546099291,978874.366767984,10,4.2,0,0
01514,Esashi,town,Hokkaido,01,Hokkaido,0,0,1150,6.87,49.5,1,1,0,0,0,18500,7100,111568,9125,2.5,58.1352898150881,4.054794521,1173643.06849315,18,1.5,0,0
01516,Toyotomi,town,Hokkaido,01,Hokkaido,0,0,1102,6.66,249,6,6,0,0,0,22000,8200,52067,4378,3.4,58.1352898150881,4.111466423,1102205.57332115,17,12.7,0,0
01517,Rebun,town,Hokkaido,01,Hokkaido,0,0,1015,8.32,0,0,0,0,0,0,25000,4000,8133,3078,2.9,58.1352898150881,0.6497725796,1125151.07212476,13,3.3,0,0
01518,Rishiri,town,Hokkaido,01,Hokkaido,0,0,961,7.92,0,0,0,0,0,0,12500,4300,7649,2590,2.4,58.1352898150881,0.3861003861,1156407.72200772,10,3.8,0,0
01519,Rishirifuji,town,Hokkaido,01,Hokkaido,0,0,887,8.38,0,0,0,0,0,0,17600,6200,10569,3037,4.7,58.1352898150881,3.62199539,956089.232795522,12,1.2,0,0
01520,Horonobe,town,Hokkaido,01,Hokkaido,0,0,1114,6.81,29.4,1,1,0,0,0,0,0,57427,2677,1.7,NA,7.097497198,1344457.60179305,21,7.6,0,0
01543,Bihoro,town,Hokkaido,01,Hokkaido,0,0,1281,5.84,4341.1,71,70,0,1,0,22500,15900,43836,21575,4,58.1352898150881,3.939745075,1093586.18771727,35,1.5,0,0
01544,Tsubetsu,town,Hokkaido,01,Hokkaido,0,0,1271,6.1,7556.9,20,14,0,6,0,14500,7200,71660,5646,5.9,58.1352898150881,3.542330854,1012713.60255048,18,1.4,0,0
01545,Shari,town,Hokkaido,01,Hokkaido,0,0,962,7.1,18435.6,69,35,29,5,0,32300,11700,73701,13045,4.1,58.1352898150881,5.366040629,1430078.11422001,36,4.5,0,0
01546,Kiyosato,town,Hokkaido,01,Hokkaido,0,0,1159,6.65,1482.9,14,13,0,1,0,12000,4800,40273,4551,5.1,58.1352898150881,3.955174687,1220665.3482751,18,3.6,0,0
01547,Koshimizu,town,Hokkaido,01,Hokkaido,0,0,1187,6.63,100167.7,35,19,0,2,14,14000,7800,28704,5358,2.3,58.1352898150881,3.172825681,1182118.32773423,20,4.2,0,0
01549,Kunneppu,town,Hokkaido,01,Hokkaido,0,0,1328,6.08,3616.9,10,7,1,2,0,17300,9200,19089,5435,3.8,58.1352898150881,3.863845446,1144712.23551058,22,9.2,0,0
01550,Oketo,town,Hokkaido,01,Hokkaido,0,0,1298,6.22,796.4,13,12,1,0,0,13000,6200,52754,3428,1.4,58.1352898150881,3.208868145,1056981.3302217,14,2.8,0,0
01552,Saroma,town,Hokkaido,01,Hokkaido,0,0,1206,6.36,20939.3,34,4,16,14,0,14500,6100,40499,5892,3,58.1352898150881,5.261371351,1098279.19212492,22,4.4,0,0
01555,Engaru,town,Hokkaido,01,Hokkaido,0,0,1187,6.16,16897.8,113,99,2,12,0,28500,12200,133232,22265,4.9,58.1352898150881,5.03031664,1065097.95643386,27,2.6,0,0
01559,Yubetsu,town,Hokkaido,01,Hokkaido,0,0,1157,6.09,15766,36,24,0,12,0,0,0,50574,10041,3.7,58.1352898150881,4.58121701,1004185.34010557,20,6.4,0,0
01560,Takinoue,town,Hokkaido,01,Hokkaido,0,0,1164,6.65,942.5,3,2,0,1,0,7600,2300,76689,3028,3,58.1352898150881,2.972258917,965335.535006605,12,15.6,0,0
01561,Okoppe,town,Hokkaido,01,Hokkaido,0,0,1200,6.28,1158.4,5,4,0,1,0,11500,6200,36245,4301,3.3,58.1352898150881,4.650081376,1219151.3601488,19,6.5,0,0
01562,Nishiokoppe,village,Hokkaido,01,Hokkaido,0,0,1162,6.99,0,0,0,0,0,0,0,1900,30812,1135,1.6,58.1352898150881,3.524229075,1058057.26872247,9,2.8,0,0
