geoid,cbsa,metro_name,hri,interval,year
09003004964,25540,"Hartford-West Hartford-East Hartford, CT",1.08953054035,1,2000
37119000028,16740,"Charlotte-Concord-Gastonia, NC-SC",1.09053978362,1,2000
36081000757,35614,"New York-Jersey City-White Plains, NY-NJ",1.09092888591,1,2000
24510271102,12580,"Baltimore-Columbia-Towson, MD",1.0922010183,1,2000
42079002006,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.09439513252,1,2000
48113000202,19124,"Dallas-Plano-Irving, TX",1.09503584379,1,2000
18097003218,26900,"Indianapolis-Carmel-Anderson, IN",1.09695230185,1,2000
29095000084,28140,"Kansas City, MO-KS",1.09707681645,1,2000
06075000428,41884,"San Francisco-Redwood City-South San Francisco, CA",1.09781088221,1,2000
34013000190,35084,"Newark, NJ-PA",1.09829054804,1,2000
48381000204,11100,"Amarillo, TX",1.09873635755,1,2000
06037002651,31084,"Los Angeles-Long Beach-Glendale, CA",1.10169105721,1,2000
29189002163,41180,"St. Louis, MO-IL",1.10171020559,1,2000
39095004504,45780,"Toledo, OH",1.10192655179,1,2000
41051000063,38900,"Portland-Vancouver-Hillsboro, OR-WA",1.10235554261,1,2000
42091002018,33874,"Montgomery County-Bucks County-Chester County, PA",1.10322822355,1,2000
31055000055,36540,"Omaha-Council Bluffs, NE-IA",1.10758933243,1,2000
31055000064,36540,"Omaha-Council Bluffs, NE-IA",1.10830758382,1,2000
19153000028,19780,"Des Moines-West Des Moines, IA",1.11077421119,1,2000
48453000005,12420,"Austin-Round Rock, TX",1.11203896687,1,2000
19013000014,47940,"Waterloo-Cedar Falls, IA",1.11284190156,1,2000
27053001116,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.11662935542,1,2000
34039000334,35084,"Newark, NJ-PA",1.11781668546,1,2000
27123000349,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.11802837974,1,2000
34013000149,35084,"Newark, NJ-PA",1.11844683965,1,2000
37081000105,24660,"Greensboro-High Point, NC",1.12301772596,1,2000
34039000348,35084,"Newark, NJ-PA",1.12330311582,1,2000
36005000333,35614,"New York-Jersey City-White Plains, NY-NJ",1.12545044051,1,2000
12086004102,33124,"Miami-Miami Beach-Kendall, FL",1.12551247799,1,2000
48245000062,13140,"Beaumont-Port Arthur, TX",1.12689720043,1,2000
05119000016,30780,"Little Rock-North Little Rock-Conway, AR",1.12692929797,1,2000
08031003901,19740,"Denver-Aurora-Lakewood, CO",1.12828484149,1,2000
48375000104,11100,"Amarillo, TX",1.13118675233,1,2000
42045004044,37964,"Philadelphia, PA",1.13141655831,1,2000
09001000351,14860,"Bridgeport-Stamford-Norwalk, CT",1.13146707426,1,2000
36055000129,40380,"Rochester, NY",1.1355202432,1,2000
42101000234,37964,"Philadelphia, PA",1.13684684775,1,2000
39153507203,10420,"Akron, OH",1.13738636298,1,2000
36119000047,35614,"New York-Jersey City-White Plains, NY-NJ",1.14206001061,1,2000
06001004261,36084,"Oakland-Hayward-Berkeley, CA",1.14274973293,1,2000
21111000087,31140,"Louisville/Jefferson County, KY-IN",1.14282296773,1,2000
27123000362,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.14334083947,1,2000
08031004302,19740,"Denver-Aurora-Lakewood, CO",1.14339149315,1,2000
17031007201,16974,"Chicago-Naperville-Arlington Heights, IL",1.14547896486,1,2000
06037005719,31084,"Los Angeles-Long Beach-Glendale, CA",1.14597872257,1,2000
26163005384,19804,"Detroit-Dearborn-Livonia, MI",1.14736767875,1,2000
19153003002,19780,"Des Moines-West Des Moines, IA",1.15195112288,1,2000
26163005503,19804,"Detroit-Dearborn-Livonia, MI",1.15457646787,1,2000
39035140201,17460,"Cleveland-Elyria, OH",1.15572600606,1,2000
06037007031,31084,"Los Angeles-Long Beach-Glendale, CA",1.15800127358,1,2000
17031008007,16974,"Chicago-Naperville-Arlington Heights, IL",1.15959490174,1,2000
18097003223,26900,"Indianapolis-Carmel-Anderson, IN",1.16125189708,1,2000
25025120102,14454,"Boston, MA",1.16127602766,1,2000
24510001201,12580,"Baltimore-Columbia-Towson, MD",1.16217154712,1,2000
36065021701,46540,"Utica-Rome, NY",1.16746610471,1,2000
18097003222,26900,"Indianapolis-Carmel-Anderson, IN",1.1691902169,1,2000
19153000031,19780,"Des Moines-West Des Moines, IA",1.17072421437,1,2000
26163005501,19804,"Detroit-Dearborn-Livonia, MI",1.17211025454,1,2000
29189002158,41180,"St. Louis, MO-IL",1.17253269946,1,2000
42101000273,37964,"Philadelphia, PA",1.17346689163,1,2000
48245000054,13140,"Beaumont-Port Arthur, TX",1.17370878262,1,2000
22017000216,43340,"Shreveport-Bossier City, LA",1.17551644661,1,2000
12086003908,33124,"Miami-Miami Beach-Kendall, FL",1.17701091605,1,2000
39049000220,18140,"Columbus, OH",1.17826290964,1,2000
