year,cbsa,county,geoid,hri,interval
2000,36084,06001,06001004047,1.18854960062,1
2000,39380,08101,08101000015,1.18886924894,1
2000,13140,48245,48245000063,1.1894894709,1
2000,19804,26163,26163005506,1.19001617469,1
2000,12580,24510,24510280401,1.19149788053,1
2000,35084,34013,34013000198,1.19167643609,1
2000,31084,06037,06037600801,1.19716681019,1
2000,15380,36029,36029006602,1.19905286978,1
2000,40060,51760,51760000503,1.19953949857,1
2000,31084,06037,06037002656,1.20021255372,1
2000,31084,06037,06037001256,1.20138740264,1
2000,35614,36005,36005000307,1.20237191626,1
2000,33340,55079,55079000702,1.20277057336,1
2000,17140,21117,21117000648,1.20305610228,1
2000,33340,55079,55079000907,1.20648283429,1
2000,14454,25021,25021004012,1.20739727749,1
2000,36420,40109,40109001007,1.20851585794,1
2000,37964,42045,42045004045,1.20878803158,1
2000,35614,36047,36047000046,1.20915129131,1
2000,35614,36047,36047000042,1.20956980897,1
2000,35300,09009,09009001652,1.21096748214,1
2000,18140,39049,39049002730,1.21429104702,1
2000,12420,48453,48453001605,1.21545224567,1
2000,31084,06037,06037002342,1.21589017251,1
2000,31540,55025,55025000007,1.21699018209,1
2000,44700,06077,06077000012,1.21910457908,1
2000,42340,13051,13051000001,1.21987664184,1
2000,35614,36061,36061011203,1.21997004821,1
2000,41884,06075,06075000306,1.22282752129,1
2000,33460,27053,27053001114,1.22471552504,1
2000,45060,36067,36067000046,1.22636543177,1
2000,37964,42101,42101000275,1.22726438663,1
2000,35084,34013,34013000169,1.22729665734,1
2000,35614,36005,36005000301,1.22930397857,1
2000,16974,17031,17031001201,1.22949220932,1
2000,41700,48029,48029001904,1.2297293415,1
2000,41700,48029,48029001908,1.23160714311,1
2000,18140,39049,39049000090,1.2327768422,1
2000,31340,51680,51680000010,1.2360007841,1
2000,33124,12086,12086006102,1.23618195199,1
2000,48620,20173,20173000022,1.23619011919,1
2000,31084,06037,06037480002,1.23621907996,1
2000,18140,39049,39049000091,1.23630605321,1
2000,10420,39153,39153005307,1.24042128171,1
2000,41180,29189,29189002123,1.24081634422,1
2000,41740,06073,06073000069,1.24225348214,1
2000,26580,54011,54011000013,1.24478568775,1
2000,39300,44007,44007000165,1.24506918304,1
2000,34980,47037,47037000180,1.24730033325,1
2000,21500,42049,42049000002,1.24920367366,1
2000,35084,34013,34013000164,1.25031835384,1
2000,45780,39095,39095002401,1.25291993723,1
2000,31140,21111,21111000088,1.25398154509,1
2000,35614,36119,36119000045,1.25402776503,1
2000,27140,28049,28049000015,1.25457202752,1
2000,36540,31055,31055006806,1.25554165802,1
2000,21780,18163,18163000004,1.25627182862,1
2000,31084,06037,06037001431,1.25639071481,1
2000,23104,48439,48439102401,1.25704300861,1
2000,20260,27137,27137000007,1.25791452763,1
2000,18140,39049,39049002740,1.25830692435,1
2000,16974,17031,17031001202,1.25853854112,1
2000,35084,34013,34013000163,1.2588355143,1
2000,37964,42101,42101000255,1.25946599137,1
2000,30700,31109,31109000015,1.25989176839,1
2000,31084,06037,06037262302,1.26050144129,1
2000,12420,48453,48453001603,1.26111654017,1
2000,29404,17097,17097008656,1.26559872119,1
2000,18140,39049,39049000066,1.26572769461,1
2000,40340,27109,27109000004,1.26691728154,1
2000,24340,26081,26081000123,1.26999172865,1
2000,41740,06073,06073002001,1.27179054874,1
2000,17460,39035,39035001811,1.271893159,1
2000,35084,34013,34013020901,1.27193573027,1
2000,35614,36119,36119000043,1.27327746479,1
